zip,year,estimated_deaths,death_rate_per_1000,median_income,percent_65_plus,percent_no_hs,percent_bachelor_or_higher,percent_white_non_hispanic,percent_black,percent_hispanic
75104.0,2017.0,318,6.45,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75104.0,2018.0,322,6.53,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75104.0,2019.0,320,6.49,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75104.0,2020.0,388,7.87,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75104.0,2021.0,396,8.03,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75104.0,2022.0,363,7.36,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75115.0,2011.0,318,5.68,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2012.0,320,5.71,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2013.0,334,5.96,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2014.0,341,6.09,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2015.0,347,6.2,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2016.0,353,6.3,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2017.0,362,6.46,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2018.0,366,6.53,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2019.0,364,6.5,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2020.0,441,7.87,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2021.0,451,8.05,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75115.0,2022.0,412,7.36,81895.0,15.371706062986505,22.65345301717429,29.97457583147408,9.89966435763765,66.60001428265372,18.46925658787403
75116.0,2011.0,114,5.66,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2012.0,115,5.71,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2013.0,120,5.96,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2014.0,123,6.11,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2015.0,125,6.21,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2016.0,127,6.3,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2017.0,130,6.45,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2018.0,132,6.55,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2019.0,131,6.5,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2020.0,158,7.84,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2021.0,162,8.04,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75116.0,2022.0,148,7.35,57245.0,16.515264333581534,29.62192962192962,19.28851928851929,22.16430876147928,26.37379002233805,46.64184661206255
75134.0,2011.0,115,5.7,65114.0,9.40086228257099,27.965893252439123,20.75920308272526,7.483026909162992,65.76639080231924,24.991327617820502
75134.0,2012.0,115,5.7,65114.0,9.40086228257099,27.965893252439123,20.75920308272526,7.483026909162992,65.76639080231924,24.991327617820502
75134.0,2013.0,120,5.95,65114.0,9.40086228257099,27.965893252439123,20.75920308272526,7.483026909162992,65.76639080231924,24.991327617820502
75134.0,2014.0,123,6.1,65114.0,9.40086228257099,27.965893252439123,20.75920308272526,7.483026909162992,65.76639080231924,24.991327617820502
75134.0,2015.0,125,6.19,65114.0,9.40086228257099,27.965893252439123,20.75920308272526,7.483026909162992,65.76639080231924,24.991327617820502
75134.0,2016.0,127,6.29,65114.0,9.40086228257099,27.965893252439123,20.75920308272526,7.483026909162992,65.76639080231924,24.991327617820502
75134.0,2017.0,130,6.44,65114.0,9.40086228257099,27.965893252439123,20.75920308272526,7.483026909162992,65.76639080231924,24.991327617820502
75134.0,2018.0,132,6.54,65114.0,9.40086228257099,27.965893252439123,20.75920308272526,7.483026909162992,65.76639080231924,24.991327617820502
75134.0,2019.0,131,6.49,65114.0,9.40086228257099,27.965893252439123,20.75920308272526,7.483026909162992,65.76639080231924,24.991327617820502
75134.0,2020.0,159,7.88,65114.0,9.40086228257099,27.965893252439123,20.75920308272526,7.483026909162992,65.76639080231924,24.991327617820502
